                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.98044,                0.54315,                 1.0531,                 0.8693,                0.89362,                0.88814,                0.50307,                 1.5396,                0.68574,                 1.4488,              0.0008384,              0.0008384,              0.0008384
                     91,                 0.9845,                0.55726,                 1.0483,                 0.9499,                0.80685,                0.89318,                 0.4695,                 1.5516,                0.70275,                 1.4091,              0.0008252,              0.0008252,              0.0008252
                     92,                0.94808,                0.54107,                 1.0408,                0.88751,                0.85106,                0.86635,                0.48556,                 1.5715,                0.71562,                 1.4003,               0.000812,               0.000812,               0.000812
                     93,                 0.9551,                0.52233,                 1.0447,                0.88857,                0.84834,                0.88101,                0.50068,                 1.5944,                 0.7084,                  1.433,              0.0007988,              0.0007988,              0.0007988
                     94,                0.95099,                0.54032,                 1.0333,                0.91867,                0.82979,                0.90108,                0.51754,                 1.4926,                0.65635,                 1.3688,              0.0007856,              0.0007856,              0.0007856
                     95,                0.94551,                0.54436,                 1.0348,                0.85031,                0.89362,                0.88592,                0.50019,                 1.5385,                0.65765,                 1.3734,              0.0007724,              0.0007724,              0.0007724
                     96,                0.97507,                0.55052,                 1.0531,                0.84183,                0.85106,                0.87553,                 0.4846,                 1.5507,                0.66928,                 1.3919,              0.0007592,              0.0007592,              0.0007592
                     97,                0.92974,                0.55117,                 1.0359,                0.88687,                0.85106,                0.90716,                0.49475,                 1.5545,                0.62444,                 1.4343,               0.000746,               0.000746,               0.000746
                     98,                0.96372,                0.53611,                 1.0544,                 0.8687,                0.84473,                0.85589,                0.48709,                 1.4778,                  0.637,                 1.4074,              0.0007328,              0.0007328,              0.0007328
                     99,                 0.9251,                0.52169,                  1.029,                0.82925,                0.87234,                0.87384,                0.50833,                 1.5128,                0.69897,                 1.4104,              0.0007196,              0.0007196,              0.0007196
                    100,                0.93841,                0.53669,                 1.0441,                0.86923,                0.84864,                0.87462,                0.47176,                 1.5317,                0.69248,                 1.3767,              0.0007064,              0.0007064,              0.0007064
                    101,                0.97382,                0.54214,                 1.0444,                 0.8764,                0.91489,                0.92669,                0.49077,                 1.5696,                0.62297,                  1.448,              0.0006932,              0.0006932,              0.0006932
                    102,                0.93063,                 0.5344,                  1.039,                0.91012,                0.91489,                0.91456,                0.48978,                 1.5713,                0.64577,                 1.4457,                0.00068,                0.00068,                0.00068
                    103,                0.94448,                 0.5387,                 1.0551,                0.86462,                0.89362,                0.89978,                0.47814,                 1.5379,                0.65731,                 1.4032,              0.0006668,              0.0006668,              0.0006668
                    104,                0.92492,                0.52502,                 1.0264,                0.91066,                0.86757,                0.92677,                0.49863,                 1.6158,                0.65985,                 1.4893,              0.0006536,              0.0006536,              0.0006536
                    105,                0.91156,                0.49751,                 1.0393,                0.88945,                0.89362,                0.90977,                0.49872,                 1.5739,                0.62736,                 1.4509,              0.0006404,              0.0006404,              0.0006404
                    106,                0.90937,                0.51297,                 1.0341,                0.89127,                0.87234,                0.90804,                0.50027,                 1.6128,                0.64894,                 1.4549,              0.0006272,              0.0006272,              0.0006272
                    107,                0.93918,                0.52381,                 1.0299,                0.88731,                0.87234,                0.90417,                0.46447,                 1.6521,                0.67287,                 1.4608,               0.000614,               0.000614,               0.000614
                    108,                0.88966,                0.50175,                 1.0341,                0.92251,                0.87234,                0.90873,                0.46861,                 1.5874,                0.65131,                 1.4214,              0.0006008,              0.0006008,              0.0006008
                    109,                0.88533,                0.49971,                 1.0121,                0.90812,                0.84125,                0.88841,                0.48064,                 1.5639,                0.62426,                 1.4366,              0.0005876,              0.0005876,              0.0005876
                    110,                0.88739,                0.50791,                 1.0139,                0.89177,                0.89362,                0.89631,                0.48267,                 1.5791,                0.59014,                 1.4595,              0.0005744,              0.0005744,              0.0005744
                    111,                0.84721,                0.47922,                 1.0054,                0.88316,                0.87234,                 0.9061,                0.48759,                 1.5558,                0.60157,                 1.4721,              0.0005612,              0.0005612,              0.0005612
                    112,                0.92299,                0.50135,                 1.0141,                0.85928,                0.90954,                0.91833,                0.47944,                  1.555,                0.60652,                  1.478,               0.000548,               0.000548,               0.000548
                    113,                0.90934,                0.48965,                 1.0125,                0.87287,                0.89362,                0.90894,                0.50662,                 1.5166,                 0.6238,                 1.4292,              0.0005348,              0.0005348,              0.0005348
                    114,                0.88162,                 0.4914,                 1.0072,                0.87487,                0.89255,                0.90501,                0.48745,                 1.5821,                 0.6804,                 1.4764,              0.0005216,              0.0005216,              0.0005216
